time	Torso_X	Torso_Y	Torso_Z	Torso_RXV	Torso_RYV	Torso_RZV	Torso_XV	Torso_YV	Torso_ZV	Torso_R00	Torso_R01	Torso_R02	Torso_R10	Torso_R11	Torso_R12	Torso_R20	Torso_R21	Torso_R22	RightThigh_X	RightThigh_Y	RightThigh_Z	RightThigh_RXV	RightThigh_RYV	RightThigh_RZV	RightThigh_XV	RightThigh_YV	RightThigh_ZV	RightThigh_R00	RightThigh_R01	RightThigh_R02	RightThigh_R10	RightThigh_R11	RightThigh_R12	RightThigh_R20	RightThigh_R21	RightThigh_R22	RightLeg_X	RightLeg_Y	RightLeg_Z	RightLeg_RXV	RightLeg_RYV	RightLeg_RZV	RightLeg_XV	RightLeg_YV	RightLeg_ZV	RightLeg_R00	RightLeg_R01	RightLeg_R02	RightLeg_R10	RightLeg_R11	RightLeg_R12	RightLeg_R20	RightLeg_R21	RightLeg_R22	RightFoot_X	RightFoot_Y	RightFoot_Z	RightFoot_RXV	RightFoot_RYV	RightFoot_RZV	RightFoot_XV	RightFoot_YV	RightFoot_ZV	RightFoot_R00	RightFoot_R01	RightFoot_R02	RightFoot_R10	RightFoot_R11	RightFoot_R12	RightFoot_R20	RightFoot_R21	RightFoot_R22	LeftThigh_X	LeftThigh_Y	LeftThigh_Z	LeftThigh_RXV	LeftThigh_RYV	LeftThigh_RZV	LeftThigh_XV	LeftThigh_YV	LeftThigh_ZV	LeftThigh_R00	LeftThigh_R01	LeftThigh_R02	LeftThigh_R10	LeftThigh_R11	LeftThigh_R12	LeftThigh_R20	LeftThigh_R21	LeftThigh_R22	LeftLeg_X	LeftLeg_Y	LeftLeg_Z	LeftLeg_RXV	LeftLeg_RYV	LeftLeg_RZV	LeftLeg_XV	LeftLeg_YV	LeftLeg_ZV	LeftLeg_R00	LeftLeg_R01	LeftLeg_R02	LeftLeg_R10	LeftLeg_R11	LeftLeg_R12	LeftLeg_R20	LeftLeg_R21	LeftLeg_R22	LeftFoot_X	LeftFoot_Y	LeftFoot_Z	LeftFoot_RXV	LeftFoot_RYV	LeftFoot_RZV	LeftFoot_XV	LeftFoot_YV	LeftFoot_ZV	LeftFoot_R00	LeftFoot_R01	LeftFoot_R02	LeftFoot_R10	LeftFoot_R11	LeftFoot_R12	LeftFoot_R20	LeftFoot_R21	LeftFoot_R22
1e-05	0	0	0.95	8.20436e-14	-3.58996e-14	1.57734	-0.343373	1.15259	4.40657e-14	-0.173619	0.984813	3.14193e-14	-5.20139e-14	2.27596e-14	-1	-0.984813	-0.173619	4.72955e-14	0	0	0.95	7.10968e-14	-5.44535e-14	-1.1148	-0.0581914	1.20124	4.40657e-14	0.0665844	0.997781	3.14193e-14	-4.50739e-14	3.45224e-14	-1	-0.997781	0.0665844	4.72955e-14	0.0302959	-2.05086e-14	0.49601	6.84333e-14	-5.77652e-14	-1.39559	-0.0251995	0.695991	6.8842e-14	0.113848	0.993498	3.14193e-14	-4.33853e-14	3.6622e-14	-1	-0.993498	0.113848	4.72955e-14	0.081755	-4.01188e-14	0.0469485	7.14442e-14	-5.39969e-14	-0.0931693	-0.0286726	0.0637342	9.49519e-14	0.0601908	0.998187	3.14193e-14	-4.52941e-14	3.42329e-14	-1	-0.998187	0.0601908	4.72955e-14	0	0	0.95	8.71498e-14	-2.06118e-14	1.66371	-0.544414	1.07237	4.40657e-14	-0.347335	0.937741	3.14193e-14	-5.52512e-14	1.30674e-14	-1	-0.937741	-0.347335	4.72955e-14	-0.158037	-2.51393e-14	0.523328	8.71362e-14	-2.06695e-14	1.66479	-0.543201	1.82972	5.34441e-14	-0.346713	0.937971	3.14193e-14	-5.52425e-14	1.3104e-14	-1	-0.937971	-0.346713	4.72955e-14	-0.314752	-5.01089e-14	0.0993649	8.19743e-14	-3.60576e-14	3.28853	-0.0682074	2.63784	6.27867e-14	-0.171721	0.985146	3.14193e-14	-5.197e-14	2.28597e-14	-1	-0.985146	-0.171721	4.72955e-14
2e-05	1.1947e-05	0	0.950001	8.20352e-14	-3.53705e-14	1.57718	-0.343373	1.15252	4.4019e-14	-0.173604	0.984816	3.14193e-14	-5.20139e-14	2.24265e-14	-1	-0.984816	-0.173604	4.69624e-14	1.1947e-05	0	0.950001	7.12164e-14	-5.39358e-14	-1.11433	-0.0582411	1.20117	4.4019e-14	0.0665732	0.997782	3.14193e-14	-4.51543e-14	3.41977e-14	-1	-0.997782	0.0665732	4.69624e-14	0.0303028	-2.05452e-14	0.496011	6.85774e-14	-5.72537e-14	-1.39599	-0.0252443	0.696136	6.85598e-14	0.113834	0.9935	3.14193e-14	-4.34811e-14	3.63014e-14	-1	-0.9935	0.113834	4.69624e-14	0.0817557	-4.01987e-14	0.0469489	7.15599e-14	-5.34792e-14	-0.106339	-0.0287145	0.0636949	9.44384e-14	0.0601899	0.998187	3.14193e-14	-4.53722e-14	3.39082e-14	-1	-0.998187	0.0601899	4.69624e-14	1.1947e-05	0	0.950001	8.70466e-14	-2.00929e-14	1.66401	-0.544401	1.0723	4.4019e-14	-0.347319	0.937747	3.14193e-14	-5.51915e-14	1.27398e-14	-1	-0.937747	-0.347319	4.69624e-14	-0.158018	-2.51121e-14	0.523327	8.70333e-14	-2.01506e-14	1.6647	-0.543188	1.82979	5.31612e-14	-0.346698	0.937977	3.14193e-14	-5.5183e-14	1.27764e-14	-1	-0.937977	-0.346698	4.69624e-14	-0.314726	-5.00548e-14	0.099361	8.19662e-14	-3.55299e-14	3.28777	-0.0681468	2.63787	6.22693e-14	-0.171689	0.985151	3.14193e-14	-5.19703e-14	2.25276e-14	-1	-0.985151	-0.171689	4.69624e-14
3e-05	2.38933e-05	0	0.950003	8.21191e-14	-3.55441e-14	1.57711	-0.343382	1.15249	4.40349e-14	-0.173588	0.984818	3.14193e-14	-5.20695e-14	2.25375e-14	-1	-0.984818	-0.173588	4.70735e-14	2.38933e-05	0	0.950003	7.12579e-14	-5.41224e-14	-1.11426	-0.0582892	1.20114	4.40349e-14	0.0665621	0.997782	3.14193e-14	-4.51827e-14	3.43176e-14	-1	-0.997782	0.0665621	4.70735e-14	0.0303097	-2.05581e-14	0.496012	6.86102e-14	-5.74418e-14	-1.396	-0.0252942	0.696142	6.86606e-14	0.11382	0.993501	3.14193e-14	-4.35038e-14	3.64223e-14	-1	-0.993501	0.11382	4.70735e-14	0.0817563	-4.02219e-14	0.0469492	7.1602e-14	-5.36663e-14	-0.119318	-0.0287636	0.0636937	9.46243e-14	0.0601888	0.998187	3.14193e-14	-4.54009e-14	3.40283e-14	-1	-0.998187	0.0601888	4.70735e-14	2.38933e-05	0	0.950003	8.71603e-14	-2.02487e-14	1.66408	-0.544403	1.07227	4.40349e-14	-0.347304	0.937753	3.14193e-14	-5.5266e-14	1.28391e-14	-1	-0.937753	-0.347304	4.70735e-14	-0.157999	-2.5146e-14	0.523325	8.71468e-14	-2.03064e-14	1.6649	-0.543191	1.82979	5.3248e-14	-0.346682	0.937983	3.14193e-14	-5.52574e-14	1.28758e-14	-1	-0.937983	-0.346682	4.70735e-14	-0.3147	-5.01224e-14	0.0993572	8.20492e-14	-3.5705e-14	3.28135	-0.0680903	2.63796	6.24265e-14	-0.171656	0.985157	3.14193e-14	-5.20252e-14	2.26396e-14	-1	-0.985157	-0.171656	4.70735e-14
4e-05	3.58393e-05	0	0.950004	8.20279e-14	-3.60678e-14	1.57704	-0.343391	1.15246	4.40662e-14	-0.173572	0.984821	3.14193e-14	-5.20139e-14	2.28706e-14	-1	-0.984821	-0.173572	4.72955e-14	3.58393e-05	0	0.950004	7.10458e-14	-5.46073e-14	-1.11419	-0.0583372	1.20112	4.40662e-14	0.066551	0.997783	3.14193e-14	-4.50502e-14	3.46265e-14	-1	-0.997783	0.066551	4.72955e-14	0.0303165	-2.04978e-14	0.496013	6.83755e-14	-5.79159e-14	-1.396	-0.0253439	0.696146	6.89125e-14	0.113806	0.993503	3.14193e-14	-4.33569e-14	3.67245e-14	-1	-0.993503	0.113806	4.72955e-14	0.0817569	-4.00952e-14	0.0469495	7.13925e-14	-5.41532e-14	-0.132165	-0.0288127	0.0636954	9.50905e-14	0.0601876	0.998187	3.14193e-14	-4.527e-14	3.43386e-14	-1	-0.998187	0.0601876	4.72955e-14	3.58393e-05	0	0.950004	8.71644e-14	-2.07803e-14	1.66414	-0.544406	1.07224	4.40662e-14	-0.347288	0.937758	3.14193e-14	-5.5271e-14	1.31768e-14	-1	-0.937758	-0.347288	4.72955e-14	-0.15798	-2.51483e-14	0.523324	8.71506e-14	-2.08381e-14	1.6651	-0.543193	1.82979	5.35212e-14	-0.346667	0.937988	3.14193e-14	-5.52623e-14	1.32134e-14	-1	-0.937988	-0.346667	4.72955e-14	-0.314674	-5.01269e-14	0.0993533	8.19564e-14	-3.62299e-14	3.27492	-0.068034	2.63805	6.294e-14	-0.171624	0.985163	3.14193e-14	-5.19686e-14	2.29734e-14	-1	-0.985163	-0.171624	4.72955e-14
5e-05	4.77851e-05	0	0.950006	8.20243e-14	-3.60662e-14	1.57697	-0.3434	1.15243	4.40821e-14	-0.173557	0.984824	3.14193e-14	-5.20139e-14	2.28706e-14	-1	-0.984824	-0.173557	4.74065e-14	4.77851e-05	0	0.950006	7.10441e-14	-5.4603e-14	-1.11412	-0.0583851	1.20109	4.40821e-14	0.0665399	0.997784	3.14193e-14	-4.50511e-14	3.46253e-14	-1	-0.997784	0.0665399	4.74065e-14	0.0303234	-2.04983e-14	0.496014	6.83742e-14	-5.79113e-14	-1.396	-0.0253936	0.696151	6.89265e-14	0.113792	0.993505	3.14193e-14	-4.3358e-14	3.67232e-14	-1	-0.993505	0.113792	4.74065e-14	0.0817575	-4.00961e-14	0.0469498	7.13903e-14	-5.41496e-14	-0.144879	-0.0288618	0.0636997	9.51024e-14	0.0601863	0.998187	3.14193e-14	-4.52706e-14	3.43378e-14	-1	-0.998187	0.0601863	4.74065e-14	4.77851e-05	0	0.950006	8.71606e-14	-2.07794e-14	1.66421	-0.544408	1.07221	4.40821e-14	-0.347273	0.937764	3.14193e-14	-5.5271e-14	1.31768e-14	-1	-0.937764	-0.347273	4.74065e-14	-0.157961	-2.51483e-14	0.523323	8.71468e-14	-2.08372e-14	1.6653	-0.543195	1.82979	5.35368e-14	-0.346651	0.937994	3.14193e-14	-5.52623e-14	1.32135e-14	-1	-0.937994	-0.346651	4.74065e-14	-0.314648	-5.01269e-14	0.0993494	8.19522e-14	-3.62297e-14	3.2685	-0.0679777	2.63814	6.29552e-14	-0.171592	0.985168	3.14193e-14	-5.19682e-14	2.29743e-14	-1	-0.985168	-0.171592	4.74065e-14
6e-05	5.97305e-05	0	0.950007	8.21082e-14	-3.60646e-14	1.5769	-0.343409	1.1524	4.40981e-14	-0.173541	0.984827	3.14193e-14	-5.20695e-14	2.28706e-14	-1	-0.984827	-0.173541	4.75175e-14	5.97305e-05	0	0.950007	7.11274e-14	-5.46196e-14	-1.11405	-0.0584329	1.20106	4.40981e-14	0.0665288	0.997785	3.14193e-14	-4.51059e-14	3.46374e-14	-1	-0.997785	0.0665288	4.75175e-14	0.0303303	-2.05232e-14	0.496015	6.84568e-14	-5.79316e-14	-1.39599	-0.0254432	0.696155	6.895e-14	0.113778	0.993506	3.14193e-14	-4.34123e-14	3.67377e-14	-1	-0.993506	0.113778	4.75175e-14	0.0817581	-4.01456e-14	0.0469502	7.14732e-14	-5.41663e-14	-0.157462	-0.0289111	0.0637067	9.51351e-14	0.0601848	0.998187	3.14193e-14	-4.53252e-14	3.43499e-14	-1	-0.998187	0.0601848	4.75175e-14	5.97305e-05	0	0.950007	8.72428e-14	-2.07629e-14	1.66427	-0.54441	1.07218	4.40981e-14	-0.347257	0.93777	3.14193e-14	-5.53256e-14	1.31669e-14	-1	-0.93777	-0.347257	4.75175e-14	-0.157942	-2.51732e-14	0.523322	8.7229e-14	-2.08207e-14	1.6655	-0.543198	1.82979	5.35452e-14	-0.346635	0.938	3.14193e-14	-5.53169e-14	1.32036e-14	-1	-0.938	-0.346635	4.75175e-14	-0.314621	-5.01764e-14	0.0993456	8.20355e-14	-3.62297e-14	3.26207	-0.0679217	2.63822	6.29562e-14	-0.17156	0.985174	3.14193e-14	-5.20233e-14	2.29753e-14	-1	-0.985174	-0.17156	4.75175e-14
7e-05	7.16756e-05	0	0.950008	8.20171e-14	-3.57129e-14	1.57683	-0.343417	1.15237	4.4068e-14	-0.173526	0.984829	3.14193e-14	-5.20139e-14	2.26485e-14	-1	-0.984829	-0.173526	4.72955e-14	7.16756e-05	0	0.950008	7.11243e-14	-5.42543e-14	-1.11399	-0.0584806	1.20103	4.4068e-14	0.0665177	0.997785	3.14193e-14	-4.5106e-14	3.44073e-14	-1	-0.997785	0.0665177	4.72955e-14	0.0303372	-2.05232e-14	0.496016	6.84712e-14	-5.75665e-14	-1.39597	-0.0254927	0.696159	6.87537e-14	0.113764	0.993508	3.14193e-14	-4.34234e-14	3.65078e-14	-1	-0.993508	0.113764	4.72955e-14	0.0817588	-4.01506e-14	0.0469505	7.14673e-14	-5.38018e-14	-0.169917	-0.0289604	0.0637164	9.47737e-14	0.0601833	0.998187	3.14193e-14	-4.53234e-14	3.41203e-14	-1	-0.998187	0.0601833	4.72955e-14	7.16756e-05	0	0.950008	8.70901e-14	-2.04333e-14	1.66434	-0.544413	1.07215	4.4068e-14	-0.347241	0.937776	3.14193e-14	-5.52312e-14	1.29585e-14	-1	-0.937776	-0.347241	4.72955e-14	-0.157923	-2.51302e-14	0.52332	8.70765e-14	-2.0491e-14	1.66569	-0.5432	1.82979	5.33651e-14	-0.34662	0.938006	3.14193e-14	-5.52226e-14	1.29951e-14	-1	-0.938006	-0.34662	4.72955e-14	-0.314595	-5.00908e-14	0.0993417	8.19444e-14	-3.58792e-14	3.25564	-0.0678657	2.63831	6.26271e-14	-0.171528	0.985179	3.14193e-14	-5.19679e-14	2.2754e-14	-1	-0.985179	-0.171528	4.72955e-14
8e-05	8.36204e-05	0	0.95001	8.20135e-14	-3.58864e-14	1.57676	-0.343426	1.15234	4.40686e-14	-0.17351	0.984832	3.14193e-14	-5.20139e-14	2.27596e-14	-1	-0.984832	-0.17351	4.72955e-14	8.36204e-05	0	0.95001	7.10809e-14	-5.442e-14	-1.11392	-0.0585282	1.201	4.40686e-14	0.0665065	0.997786	3.14193e-14	-4.50804e-14	3.45139e-14	-1	-0.997786	0.0665065	4.72955e-14	0.0303441	-2.05116e-14	0.496017	6.84201e-14	-5.77298e-14	-1.39594	-0.0255421	0.696163	6.88297e-14	0.113751	0.993509	3.14193e-14	-4.33929e-14	3.66129e-14	-1	-0.993509	0.113751	4.72955e-14	0.0817594	-4.01252e-14	0.0469508	7.14244e-14	-5.39685e-14	-0.182243	-0.0290097	0.0637286	9.49235e-14	0.0601816	0.998187	3.14193e-14	-4.52982e-14	3.42275e-14	-1	-0.998187	0.0601816	4.72955e-14	8.36204e-05	0	0.95001	8.71176e-14	-2.06047e-14	1.6644	-0.544415	1.07212	4.40686e-14	-0.347226	0.937782	3.14193e-14	-5.52511e-14	1.30678e-14	-1	-0.937782	-0.347226	4.72955e-14	-0.157904	-2.51392e-14	0.523319	8.7104e-14	-2.06625e-14	1.66589	-0.543202	1.82979	5.34437e-14	-0.346604	0.938011	3.14193e-14	-5.52424e-14	1.31044e-14	-1	-0.938011	-0.346604	4.72955e-14	-0.314569	-5.01088e-14	0.0993379	8.19399e-14	-3.6054e-14	3.2492	-0.0678098	2.6384	6.27831e-14	-0.171495	0.985185	3.14193e-14	-5.19673e-14	2.28659e-14	-1	-0.985185	-0.171495	4.72955e-14
9e-05	9.55649e-05	0	0.950011	8.20099e-14	-3.60598e-14	1.57669	-0.343434	1.15231	4.40691e-14	-0.173495	0.984835	3.14193e-14	-5.20139e-14	2.28706e-14	-1	-0.984835	-0.173495	4.72955e-14	9.55649e-05	0	0.950011	7.10375e-14	-5.45857e-14	-1.11386	-0.0585756	1.20098	4.40691e-14	0.0664954	0.997787	3.14193e-14	-4.50548e-14	3.46205e-14	-1	-0.997787	0.0664954	4.72955e-14	0.030351	-2.04999e-14	0.496018	6.83691e-14	-5.7893e-14	-1.39591	-0.0255915	0.696166	6.89057e-14	0.113737	0.993511	3.14193e-14	-4.33624e-14	3.67181e-14	-1	-0.993511	0.113737	4.72955e-14	0.08176	-4.00998e-14	0.0469512	7.13815e-14	-5.41351e-14	-0.194443	-0.0290591	0.0637435	9.50733e-14	0.0601798	0.998188	3.14193e-14	-4.5273e-14	3.43347e-14	-1	-0.998188	0.0601798	4.72955e-14	9.55649e-05	0	0.950011	8.71452e-14	-2.07761e-14	1.66446	-0.544417	1.07209	4.40691e-14	-0.34721	0.937787	3.14193e-14	-5.5271e-14	1.3177e-14	-1	-0.937787	-0.34721	4.72955e-14	-0.157885	-2.51483e-14	0.523318	8.71314e-14	-2.08339e-14	1.66609	-0.543204	1.82979	5.35223e-14	-0.346589	0.938017	3.14193e-14	-5.52622e-14	1.32137e-14	-1	-0.938017	-0.346589	4.72955e-14	-0.314543	-5.01268e-14	0.099334	8.19353e-14	-3.62289e-14	3.24276	-0.0677541	2.63849	6.29392e-14	-0.171463	0.98519	3.14193e-14	-5.19667e-14	2.29778e-14	-1	-0.98519	-0.171463	4.72955e-14
0.0001	0.000107509	0	0.950012	8.20063e-14	-3.64083e-14	1.57662	-0.343442	1.15228	4.41668e-14	-0.173479	0.984838	3.14748e-14	-5.20139e-14	2.30926e-14	-1	-0.984838	-0.173479	4.75175e-14	0.000107509	0	0.950012	7.09523e-14	-5.49214e-14	-1.1138	-0.058623	1.20095	4.41668e-14	0.0664843	0.997787	3.14748e-14	-4.50028e-14	3.48349e-14	-1	-0.997787	0.0664843	4.75175e-14	0.0303579	-2.04763e-14	0.496019	6.82682e-14	-5.82241e-14	-1.39588	-0.0256407	0.696169	6.9156e-14	0.113723	0.993513	3.14748e-14	-4.33004e-14	3.69297e-14	-1	-0.993513	0.113723	4.75175e-14	0.0817606	-4.0048e-14	0.0469515	7.1298e-14	-5.4472e-14	-0.206517	-0.0291086	0.0637608	9.54733e-14	0.0601778	0.998188	3.14748e-14	-4.5222e-14	3.45498e-14	-1	-0.998188	0.0601778	4.75175e-14	0.000107509	0	0.950012	8.72041e-14	-2.11197e-14	1.66453	-0.544419	1.07206	4.41668e-14	-0.347195	0.937793	3.14748e-14	-5.53108e-14	1.33955e-14	-1	-0.937793	-0.347195	4.75175e-14	-0.157866	-2.51664e-14	0.523317	8.71901e-14	-2.11775e-14	1.66628	-0.543206	1.82978	5.37762e-14	-0.346573	0.938023	3.14748e-14	-5.53019e-14	1.34322e-14	-1	-0.938023	-0.346573	4.75175e-14	-0.314517	-5.01628e-14	0.0993302	8.19304e-14	-3.65787e-14	3.23633	-0.0676986	2.63858	6.33484e-14	-0.171431	0.985196	3.14748e-14	-5.19658e-14	2.32007e-14	-1	-0.985196	-0.171431	4.75175e-14
